Story ID, Name, Status, Labels, Estimate, Actual Points, Hours per Point, Billed, Raw Hours
"72190284","CPO","unscheduled","int_project_chores","","0","0",0"0",
"72286734","Reviewing Toggl","unscheduled","int_project_chores","","0","0",0"0",
"72028100","Ops","unscheduled","int_project_chores","","0","0",0"0",
"72190216","Meeting/Call w/ Cera","unscheduled","int_project_chores","","0","0",0"0",
"72028090","Recruiting","unscheduled","int_project_chores","","0","0",0"0",
"72028080","Sales","unscheduled","int_project_chores","","0","0",0"0",
"72466126","Team Lunch","unscheduled","int_project_chores","","0","0",0"0",
"72193398","Budget Report","unscheduled","int_project_chores","","0","0",0"0",
"72361554","Internal Retrospective","unscheduled","int_project_chores","","0","0",0"0",
"72185086","P3 Meeting","unscheduled","int_project_chores","","0","0",0"0",
"72079160","PM Meetings","unscheduled","int_project_chores","","0","0",0"0",
"72077886","Reviewing Resumes","unscheduled","int_project_chores","","0","0",0"0",
"72369672","Training","unscheduled","int_project_chores","","0","0",0"0",
"72121784","Project Chores","unscheduled","project_chores","","0","0",0"0",
"72908686","Marketing","unscheduled","project_chores","","0","0",0"0",
"72095742","Account Management","unscheduled","project_chores","","0","0",0"0",
"72095700","Client Demo","unscheduled","project_chores","","0","0",0"0",
"72095660","Design Not Attached to a Story","unscheduled","project_chores","","0","0",0"0",
"72095470","Deployment","unscheduled","project_chores","","0","0",0"0",
"72363828","Development Environment Setup","unscheduled","project_chores","","0","0",0"0",
"72363834","Kickoff","unscheduled","project_chores","","0","0",0"0",
"72095372","Project Planning","unscheduled","project_chores","","0","0",0"0",
"72095432","Publishing Meeting Notes","unscheduled","project_chores","","0","0",0"0",
"72363864","Regression Testing","unscheduled","project_chores","","0","0",0"0",
"72095486","Retrospective Meeting","unscheduled","project_chores","","0","0",0"0",
"72095666","Sprint Planning","unscheduled","project_chores","","0.23","0.92",0.0"0.92",
"72095454","Stand Ups","unscheduled","project_chores","","0.1","0.42",0.0"0.42",
"","User can select pivotal IDs from dropdown","","","","","0",0.0"1.0",
"","User Stories Meeting","","","","","0",0.0"0.64",
"","PM Dashboard Ramp-Up","","","","","0",0.0"11.71",
"","PM Dashboard StandUp","","","","","0",0.0"0.35",
"","looking into pivotal api","","","","","0",0.0"0.43",
"","format currency values in view on prototype","","","","","0",0.0"0.25",
"","put prototype on heroku","","","","","0",0.0"0.58",
"","add support for multiple projects on prototype","","","","","0",0.0"1.75",
"","get total billed on prototype","","","","","0",0.0"0.75",
"","get project id w/ toggl api on prototype","","","","","0",0.0"0.83",
"","selector for date ranges on prototype","","","","","0",0.0"0.75",
"","Meeting Scheduling/Pivotal Review","","","","","0",0.0"0.25",
"","discovery on PM Dashboard","","","","","0",0.0"2.75",
